Ticker,Name,Return,Std Dev,Average Return,Sharpe Ratio,Market Cap (millions),Return (rank),Sharpe Ratio (rank),Blended rank,Weight,portfolio
ETN-USA,Eaton,37.84,1.52,2.91,1.88,130747.0,29.0,26.0,27.5,0.6284166282038027,Long Momentum
AXP-USA,American Express,34.81,1.32,2.68,1.99,175510.0,37.0,18.0,27.5,0.843563541924858,Long Momentum
NRG-USA,NRG Energy,47.16,2.11,3.63,1.69,15717.0,18.0,39.5,28.75,0.0755414972846732,Long Momentum
MU-USA,Micron Technology,57.14,2.82,4.4,1.54,145114.0,7.0,52.5,29.75,0.6974695448856695,Long Momentum
WMT-USA,Walmart,29.65,1.05,2.28,2.13,559911.0,49.0,11.0,30.0,2.6911315954799684,Long Momentum
BAC-USA,Bank of America,31.73,1.23,2.44,1.94,327595.0,43.0,21.0,32.0,1.574538194501019,Long Momentum
SYF-USA,Synchrony Finl,39.07,1.75,3.01,1.69,20366.0,27.0,39.5,33.25,0.09788624633833776,Long Momentum
GRMN-USA,Garmin,37.89,1.71,2.91,1.68,32676.0,28.0,41.0,34.5,0.15705248872392832,Long Momentum
GS-USA,Goldman Sachs Group,30.5,1.23,2.35,1.87,158726.0,45.0,27.5,36.25,0.7628936627859667,Long Momentum
HPE-USA,Hewlett Packard Enterp,42.55,2.06,3.27,1.56,27865.0,22.0,50.5,36.25,0.133929109997927,Long Momentum
BSX-USA,Boston Scientific,27.99,0.99,2.15,2.11,114703.0,60.0,13.0,36.5,0.5513034525064497,Long Momentum
NXPI-USA,NXP Semiconductors,37.61,1.79,2.89,1.59,72300.0,30.0,45.0,37.5,0.3474995389503005,Long Momentum
LRCX-USA,Lam Research,42.0,2.1,3.23,1.52,139777.0,23.0,54.0,38.5,0.6718180229025748,Long Momentum
WAB-USA,Wabtec,30.47,1.24,2.34,1.84,28955.0,46.0,31.5,38.75,0.13916803804019295,Long Momentum
RCL-USA,Royal Caribbean,37.0,1.78,2.85,1.57,43163.0,32.0,49.0,40.5,0.20745674411772919,Long Momentum
DOV-USA,Dover Corp /IL,28.07,1.11,2.16,1.9,25423.0,59.0,24.0,41.5,0.12219198864085049,Long Momentum
PEG-USA,Public Service Enterprise,26.75,1.01,2.06,1.98,37127.0,66.0,19.0,42.5,0.17844557928918128,Long Momentum
MPWR-USA,Monolithic Power Systems,49.04,2.68,3.77,1.39,42389.0,16.0,69.5,42.75,0.20373662457212016,Long Momentum
VLTO-USA,Veralto,29.16,1.25,2.24,1.76,24193.0,51.0,37.0,44.0,0.1162801707582935,Long Momentum
ANET-USA,Arista Networks,44.75,2.44,3.44,1.39,112942.0,21.0,69.5,45.25,0.5428394595867889,Long Momentum
EBAY-USA,eBay,32.09,1.55,2.47,1.56,26967.0,40.0,50.5,45.25,0.12961300230806022,Long Momentum
PGR-USA,Progressive,27.79,1.13,2.14,1.84,127155.0,61.0,31.5,46.25,0.6111521974443356,Long Momentum
BRO-USA,Brown & Brown,25.19,0.98,1.94,1.92,26594.0,76.0,23.0,49.5,0.12782023151928482,Long Momentum
JCI-USA,Johnson Ctr Int,29.1,1.38,2.24,1.58,47164.0,52.0,47.0,49.5,0.22668697448204664,Long Momentum
NFLX-USA,Netflix,36.67,1.94,2.82,1.43,282865.0,34.0,66.0,50.0,1.3595498905280325,Long Momentum
WMB-USA,Williams Cos,25.21,1.02,1.94,1.86,51870.0,75.0,29.0,52.0,0.2493056858278297,Long Momentum
ZBRA-USA,Zebra Technologies A,36.93,2.04,2.84,1.37,16840.0,33.0,74.0,53.5,0.08093903507500776,Long Momentum
MRO-USA,Marathon Oil,28.76,1.47,2.21,1.47,16210.0,53.0,62.0,57.5,0.07791103079369807,Long Momentum
RSG-USA,Republic Services,21.05,0.71,1.62,2.21,63361.0,105.0,10.0,57.5,0.30453552264771766,Long Momentum
MSI-USA,Motorola Solutions,24.4,1.02,1.88,1.78,65779.0,81.0,35.5,58.25,0.3161572914607444,Long Momentum
